Id,furniture,type,url,rate,delivery,sale,price
1194,Camping Hiking Travel Kneeling Gardening Supplies,Camping Hiking Travel Kneeling Gardening Supplies,https://www.jumia.com.eg//ar/generic-outdoor-sleeping-foldable-camping-seat-cushion-sitting-mat-gray-28480699.html,0.0,233.93,33%,251.0
1195,Coffee table,Woplek,https://www.jumia.com.eg//ar/woplek-coffee-table-36943543.html,0.0,172.14,25%,2775.0
1196,"Bambino desk for children, plastic, suitable for both sexes",El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-childrens-desk-table-bambino-fuchsia-27276860.html,0.0,10.83,0%,420.0
1197,Home Gallery Side Table Size,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-side-table-67x58x-37-26929362.html,0.0,22.23,17%,1434.0
1198,Corner bed,Arikaty,https://www.jumia.com.eg//ar/arikaty-corner-bed-260x190-cm-brown-free-pouf-4040cm-27302005.html,1.0,172.14,17%,5999.0
1199,Buffet Brunn from the first Lajshari,General,https://www.jumia.com.eg//ar/general-all-luxury-buffet-brown-1409040-27301985.html,0.0,52.44,14%,7000.0
1200,Modern sofa table,Modern Home,https://www.jumia.com.eg//ar/generic-modern-table-90x50x40cm-16806541.html,0.0,172.14,0%,1350.0
1201,Sofa bed,Rango,https://www.jumia.com.eg//ar/rango-sofa-bed-rango-25309600.html,0.0,172.14,13%,4000.0
1202,Beige Super Corner Bed,Modern Home,https://www.jumia.com.eg//ar/big-super-corner-bed-purple-gray-22454259.html,0.0,172.14,10%,5900.0
1203,Plastic children's chair,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-children-plastic-chair-green-28222189.html,0.0,52.44,0%,240.0
1204,Arikaty Sofa Bed - Dark Blue +  Cushions - Yellow - 2 Pcs,Arikaty Sofa Bed   Dark Blue    Cushions   Yellow     Pcs,https://www.jumia.com.eg//ar/arikaty-sofa-bed-dark-blue-cushions-yellow-2-pcs-22735026.html,0.0,172.14,17%,3999.0
1205,Bed captonite beige,In Home,https://www.jumia.com.eg//ar/bed-120-cm-capton-beige-in-home-mpg871827.html,5.0,172.14,0%,3500.0
1206,General Home  Studying Desk - 90x80x40 -  White,General Home  Studying Desk     x  x      White,https://www.jumia.com.eg//ar/general-home-studying-desk-90x80x40-white-38453560.html,0.0,172.14,29%,1300.0
1207,Beige sofa bed,Modern Home,https://www.jumia.com.eg//ar/big-storage-sofa-bed-from-big-gray-22451632.html,0.0,172.14,10%,5000.0
1208,Classic sofa bed,Modern Home,https://www.jumia.com.eg//ar/big-classic-sofa-bed-purple-23140673.html,0.0,172.14,30%,4000.0
1209,Commodity cm,Artistico,https://www.jumia.com.eg//ar/artistico-commode-45-cm-22365290.html,0.0,172.14,18%,2200.0
1210,Portable Folding Garden Camping Chair Chair for Hunting Hiking Outdoor Travel....,Modern Home,https://www.jumia.com.eg//ar/generic-portable-foldable-chair-30841240.html,0.0,52.44,25%,379.5
1211,. . .,Epoch Sylvanian Families Furniture Single Bed     x   x   cm Ka,https://www.jumia.com.eg//ar/epoch-sylvanian-families-furniture-single-bed-11.5x6.3x6.1cm-ka-523-28215656.html,0.0,235.79,0%,608.0
1212,Dell acrylic table from Art House Furniture,Art House,https://www.jumia.com.eg//ar/art-house-dell-acrylic-coffee-table-by-art-house-furniture-37807793.html,0.0,172.14,13%,14499.0
1213,Black cutting tables set,Modern Home,https://www.jumia.com.eg//ar/sola-3-pieces-black-table-set-black-glass-30761837.html,0.0,172.14,18%,3000.0
1214,Giant Bean Togo Fabric Bean Bag,Bean GO,https://www.jumia.com.eg//ar/bean2go-giant-fabric-beanbag-by-bean2go-purple-23513428.html,0.0,52.44,0%,1800.0
1215,Multifunctional Lap Desk Holder Computer Table For iPad,Multifunctional Lap Desk Holder Computer Table For iPad,https://www.jumia.com.eg//ar/generic-multifunctional-lap-desk-holder-computer-table-for-ipad-38444577.html,0.0,349.92,49%,1576.0
1216,Corner bed x. cm,Arikaty,https://www.jumia.com.eg//ar/arikaty-corner-bed-2.80180-cm-purplegray-27302015.html,0.0,172.14,10%,6999.0
1217,bathroom unit,Beroia,https://www.jumia.com.eg//ar/beroia-bathroom-unit-27214099.html,0.0,52.44,0%,5850.0
1218,"Asiri puff, handmade cotton stuffing ",Modern Home,https://www.jumia.com.eg//ar/generic-asseri-cotton-buff-stuffed-handmade-modern-turquoise-30506751.html,0.0,52.44,0%,375.0
1219,Modern beige bed in dark gray,Hub Furniture,https://www.jumia.com.eg//ar/hub-furniture-tunahan-180-cm-bed-in-dark-grey-30903142.html,0.0,172.14,0%,15000.0
1220,6 Pcs Soft Rubber Desk Corner Pad Cover Protector Cushion Transparent,Pcs Soft Rubber Desk Corner Pad Cover Protector Cushion Transparent,https://www.jumia.com.eg//ar/generic-6-pcs-soft-rubber-desk-corner-pad-cover-protector-cushion-transparent-32112031.html,0.0,42.32,46%,158.4
1221,Rango 3 × 1 Sofa - Dark Red,Rango       Sofa   Dark Red,https://www.jumia.com.eg//ar/rango-3-1-sofa-dark-red-18974975.html,3.0,172.14,17%,3000.0
1222,OR 11pcs DIY 5D Diamond Painting Tools Set Stitch Pen Accessories Multicolor,OR   pcs DIY  D Diamond Painting Tools Set Stitch Pen Accessories Multicolor,https://www.jumia.com.eg//ar/generic-or-11pcs-diy-5d-diamond-painting-tools-set-stitch-pen-accessories-multicolor-16399924.html,0.0,82.41,68%,257.0
1223,Home  Studying Desk - 90x80x40 -  White,Home  Studying Desk     x  x      White,https://www.jumia.com.eg//ar/generic-home-studying-desk-90x75x40-white-38826834.html,0.0,172.14,56%,2000.0
1224,Babel bean bag Sabia navy blue,Homztown,https://www.jumia.com.eg//ar/homztown-bubble-bean-bag-sabia-navy-blue-23551139.html,5.0,52.44,31%,1999.0
1225,Metal bed,Modern Home,https://www.jumia.com.eg//ar/generic-metal-bed-120-cm-black-33887187.html,0.0,172.14,0%,5600.0
1226,Arikaty Corner Bed L Shape 260*190*60 Cm,Arikaty Corner Bed L Shape            Cm,https://www.jumia.com.eg//ar/arikaty-corner-bed-l-shape-26019060-cm-22623497.html,0.0,172.14,17%,5999.0
1227,Rama table from Art House Furniture,Art House,https://www.jumia.com.eg//ar/art-house-rama-coffee-table-by-art-house-furniture-37820277.html,0.0,172.14,26%,11099.0
1228,Sedra Big Big Buff + Small Buff - 2 Pcs - Yellow,Sedra Big Big Buff   Small Buff     Pcs   Yellow,https://www.jumia.com.eg//ar/sedra-big-big-puff-small-puff-2-pcs-yellow-658078.html,5.0,52.44,0%,1100.0
1229,Gaming Chair - Black/Red,Gaming Chair   Black Red,https://www.jumia.com.eg//ar/generic-gaming-chair-blackred-27659485.html,0.0,52.44,12%,10500.0
1230,Master cm bed,Modern Home,https://www.jumia.com.eg//ar/generic-upholstered-master-bed-made-of-beechwood-29214780.html,0.0,172.14,0%,14000.0
1231,Rango Corner Bed - 260*190 Cm - Dark Blue + Free Puff - 40*40 Cm,Rango Corner Bed           Cm   Dark Blue   Free Puff         Cm,https://www.jumia.com.eg//ar/rango-corner-bed-260190-cm-dark-blue-free-puff-4040-cm-17498122.html,0.0,172.14,8%,6000.0
1232,Bean Bag Chair Water Proof,Penguin,https://www.jumia.com.eg//ar/penguin-chair-bean-bag-waterproof-95-80-yellow-40530129.html,0.0,52.44,0%,649.0
1233,Protable Mini Folding Chair Stool Outdoor Hiking Camping Fishing BBQ Picnic Seat CUI,Protable Mini Folding Chair Stool Outdoor Hiking Camping Fishing BBQ Picnic Seat CUI,https://www.jumia.com.eg//ar/generic-protable-mini-folding-chair-stool-outdoor-hiking-camping-fishing-bbq-picnic-seat-cui-15717495.html,0.0,486.08,20%,1465.0
1234,Corner Bed,Rango,https://www.jumia.com.eg//ar/rango-corner-bed-rango-22432094.html,2.0,172.14,8%,6000.0
1235,OR Single Horn Horse Diamond Painting Mosaic Embroidery Cross Stitch Decoration colorful,OR Single Horn Horse Diamond Painting Mosaic Embroidery Cross Stitch Decoration colorful,https://www.jumia.com.eg//ar/generic-or-single-horn-horse-diamond-painting-mosaic-embroidery-cross-stitch-decoration-colorful-16399353.html,0.0,101.28,68%,410.0
1236,Modern TV unit,Marfy Touch,https://www.jumia.com.eg//ar/marfy-touch-modern-t.v-unit-1805040-cm-off-white-16445985.html,0.0,172.14,30%,7000.0
1237,Crystal mattress,Global,https://www.jumia.com.eg//ar/global-crystala-mattress-width-160-height-30-cm-29272445.html,0.0,172.14,0%,5500.0
1238,Cell locker,Modern Home,https://www.jumia.com.eg//ar/generic-elegant-locker-9-metal-cell-light-brown-30688056.html,0.0,172.14,0%,3988.0
1239,Modern home office design,Modern Home,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-9040-39699076.html,0.0,52.44,0%,860.0
1240,Cut flower living room set,TheWoodenArt,https://www.jumia.com.eg//ar/thewoodenart-flower-living-room-set-4-pcs-22991090.html,0.0,172.14,0%,32500.0
1241,Side table + pouf,Marfy Touch,https://www.jumia.com.eg//ar/marfy-touch-side-table-2-poufs-80cm-x-40m-brown-17414033.html,4.0,172.14,55%,6900.0
1242,Anti-skid Bookends Shelf Holder Book Nature Wood Stand(Square),Anti skid Bookends Shelf Holder Book Nature Wood Stand Square,https://www.jumia.com.eg//ar/generic-anti-skid-bookends-shelf-holder-book-nature-wood-standsquare-13747223.html,4.0,177.87,32%,499.0
1243,Large Flamingo Bean Bag,Flamingo,https://www.jumia.com.eg//ar/flamingo-large-waterproof-bean-bag-by-flamingo-pink-23416529.html,3.7,52.44,0%,820.0
1244,Primo sofa bed from beige,Modern Home,https://www.jumia.com.eg//ar/big-brimo-sofa-bed-from-big-gray-22451655.html,0.0,172.14,13%,4500.0
1245,El Helal and Star plastic desk for children,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-childrens-desk-table-for-childern-red-27276853.html,0.0,10.83,0%,650.0
1246,Chair from Khorshid Beige,Modern Home,https://www.jumia.com.eg//ar/generic-chair-from-khorshid-beige-28196059.html,0.0,10.83,0%,999.0
1247,Fiber Bar Chair,Modern Home,https://www.jumia.com.eg//ar/fiber-bar-chair-red-generic-mpg821003.html,3.7,52.44,3%,2900.0
1248,Bean Togo Luxury Leather Bean Bag Chair,Bean GO,https://www.jumia.com.eg//ar/bean2go-luxury-leather-beanbag-chair-by-bean2go-havan-23513410.html,0.0,52.44,0%,2000.0
1249,Brown color table set,Yashmak,https://www.jumia.com.eg//ar/yashmak-carved-wooden-table-set-3-pcs-30407912.html,0.0,172.14,0%,4640.0
1250,"Storage unit for books, accessories and decoration",Gad Woods,https://www.jumia.com.eg//ar/gad-woods-storage-unit-for-books-accessories-and-decoration-white-w8w-27361624.html,0.0,52.44,0%,1999.0
1251,Homztown Kids Beanbag Purple,Homztown Kids Beanbag Purple,https://www.jumia.com.eg//ar/homztown-kids-beanbag-purple-23551090.html,0.0,52.44,49%,750.0
1252,Natural marble box,Modern Home,https://www.jumia.com.eg//ar/generic-marble-box-2510-cm-white-19912990.html,0.0,52.44,8%,480.0
1253,Birla Corner,Modern Home,https://www.jumia.com.eg//ar/generic-perla-usb-cab-30758538.html,0.0,172.14,0%,19800.0
1254,Home Gallery Sturdy Metal Office Table Black,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-strong-black-metal-office-desk-black-160x60-27526543.html,0.0,52.44,17%,2358.0
1255,2x Mouse Trap Mouse Finger Live Trap Rat Trap,x Mouse Trap Mouse Finger Live Trap Rat Trap,https://www.jumia.com.eg//ar/generic-2x-mouse-trap-mouse-finger-live-trap-rat-trap-37616976.html,0.0,128.22,50%,409.6
1256,Home Gallery Beige Wall Shelf,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-floating-shelf-100x20-beige-26929241.html,0.0,22.23,17%,342.0
1257,Ahda Deco Classic Floral Style Fold-able Tables Set - 4Pcs,Ahda Deco Classic Floral Style Fold able Tables Set    Pcs,https://www.jumia.com.eg//ar/ahda-deco-classic-floral-style-fold-able-tables-set-4pcs-20818669.html,0.0,172.14,0%,1850.0
1258,Sofa bed,Rango,https://www.jumia.com.eg//ar/rango-bed-sofa-teal-120210-cm-16034630.html,4.0,172.14,8%,6000.0
1259,"1/12 Dollhouse Furniture Miniature Single Sofa Armchair,",Dollhouse Furniture Miniature Single Sofa Armchair,https://www.jumia.com.eg//ar/generic-112-dollhouse-furniture-miniature-single-sofa-armchair-38086242.html,0.0,89.64,50%,426.0
1260,Medical chair with movable arms and lumbar support,Sarcomisr,https://www.jumia.com.eg//ar/sarcomisr-ergonomic-adjustable-office-chair-with-armrest-headrest-red-19021045.html,4.5,52.44,0%,2970.0
1261,"Modern square medium table, natural wood and oak veneer, oster brown",TheWoodenArt    x,https://www.jumia.com.eg//ar/thewoodenart-natural-wood-arrow-crust-modern-square-coffee-table-100x100cm-brown-20795335.html,0.0,172.14,0%,5500.0
1262,Golden Marina Nesting Table Set from Art House,Art House,https://www.jumia.com.eg//ar/art-house-marina-coffee-table-by-art-house-furniture-3-tables-36515534.html,0.0,172.14,28%,14299.0
1263,High quality TV unit,Artistico,https://www.jumia.com.eg//ar/artistico-high-quality-tv-unit-120-cm-22425150.html,0.0,172.14,30%,5000.0
1264,How much is a chair?,Modern Home,https://www.jumia.com.eg//ar/generic-hydrolic-metal-wheelchair-silver-38754687.html,0.0,52.44,16%,450.0
1265,Sidra Sporty Puff Water Proof,Sedra,https://www.jumia.com.eg//ar/sedra-sedra-sporty-buff-woter-prof-40278032.html,0.0,52.44,0%,620.0
1266,Home Gallery TV Stand - White 140X 43 X38,Home Gallery TV Stand   White    X    X,https://www.jumia.com.eg//ar/generic-home-gallery-tv-stand-white-140x-43-x38-27487751.html,0.0,52.44,17%,2598.0
1267,Rango Chair Bed - 95×120 cm - Black,Rango Chair Bed          cm   Black,https://www.jumia.com.eg//ar/chair-bed-95120-cm-black-rango-mpg888526.html,1.0,172.14,6%,2700.0
1268,"Mora medical mattress, ten years guarantee, size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-100-length-195-high-20-24394222.html,0.0,172.14,1%,3000.0
1269,Wall Mounted Folding Desk  90 X 50 Cm Beige X GRAY,Wall Mounted Folding Desk     X    Cm Beige X GRAY,https://www.jumia.com.eg//ar/generic-wall-mounted-folding-desk-90-x-50-cm-beige-x-gray-27645424.html,0.0,52.44,17%,900.0
1270,Carmen Table Table White Round,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-carmen-round-table-60-cm-white-22899607.html,0.0,172.14,0%,490.0
1271,Tema Home  Studying Desk - 90x80x40 -  White,Tema Home  Studying Desk     x  x      White,https://www.jumia.com.eg//ar/tema-home-studying-desk-90x80x40-white-38484256.html,0.0,172.14,37%,1150.0
1272,Cake Decorating Sugarcraft Modelling Tool Kit (10pcs),Cake Decorating Sugarcraft Modelling Tool Kit    pcs,https://www.jumia.com.eg//ar/generic-cake-decorating-sugarcraft-modelling-tool-kit-10pcs-31376380.html,0.0,232.73,48%,312.76
1273,"Blackout Curtains for Bedroom Room Isolation Curtains for Living Room, Set of 2 Panels (inch)",Modern Home,https://www.jumia.com.eg//ar/generic-blackout-curtains-for-bedroom-grommet-insulated-room-23470655.html,0.0,655.17,50%,3258.0
1274,Relax bean bag waterproof,Penguin,https://www.jumia.com.eg//ar/penguin-relax-bean-bag-waterproof-10960-turquoise-40314682.html,0.0,52.44,0%,1400.0
1275,Bean Bag Comfort,Penguin Group,https://www.jumia.com.eg//ar/penguin-group-comfort-bean-bag-cloth-7095-turquoise-22976305.html,0.0,52.44,13%,1092.0
1276,High quality TV unit,Artistico,https://www.jumia.com.eg//ar/artistico-high-quality-tv-unit-120-cm-22425155.html,0.0,172.14,20%,2500.0
1277,bed x,Arikaty,https://www.jumia.com.eg//ar/arikaty-new-bed-120-x-190cm-kashmir-22735534.html,0.0,172.14,17%,3999.0
1278,Romantic chaise longue,Modern Home,https://www.jumia.com.eg//ar/generic-romantic-chaise-longue-16045-cm-26707657.html,0.0,172.14,0%,3000.0
1279,Gad Woods Modern White Floating TV Stand - White,Gad Woods Modern White Floating TV Stand   White,https://www.jumia.com.eg//ar/gad-woods-modern-white-floating-tv-stand-white-37663223.html,0.0,52.44,53%,1500.0
1280,Marvo CH-107 Scorpion Adjustable Gaming Chair - Black/Red,Marvo CH     Scorpion Adjustable Gaming Chair   Black Red,https://www.jumia.com.eg//ar/ch-107-scorpion-adjustable-gaming-chair-blackred-marvo-mpg754888.html,4.0,52.44,10%,10500.0
1281,"Low hydraulic movable mash chair on wheels, high quality mash cloth",Modern Home,https://www.jumia.com.eg//ar/generic-low-hydraulic-movable-chair-on-wheels-mash-cloth-hi-quality-39494541.html,0.0,52.44,25%,3400.0
1282,OR Home Color Drawing Painting Stencils Templates for Kids Imagination Improving Multi-color,OR Home Color Drawing Painting Stencils Templates for Kids Imagination Improving Multi color,https://www.jumia.com.eg//ar/generic-or-home-color-drawing-painting-stencils-templates-for-kids-imagination-improving-multi-color-16399763.html,0.0,61.32,72%,86.0
1283,"Modern capton bed, cm wood",At Home,https://www.jumia.com.eg//ar/at-home-stylish-modern-captain-bed-165120200cm-31976558.html,0.0,172.14,0%,5635.0
1284,Modern Home TV Table - 100x30x45Cm - Black,Modern Home TV Table      x  x  Cm   Black,https://www.jumia.com.eg//ar/modern-home-tv-table-100x30x45cm-black-16704342.html,3.5,172.14,33%,1200.0
1285,"His desk, TV, cm, built in off",Marfy Touch,https://www.jumia.com.eg//ar/marfy-touch-modern-t.v-unit-15012030-cm-brownoff-white-16552559.html,0.0,52.44,36%,4500.0
1286,Acrylic pouf table from Art House Furniture,Art House,https://www.jumia.com.eg//ar/art-house-bofat-acrylic-tea-table-sets-by-art-house-furniture-37820253.html,0.0,172.14,25%,17000.0
1287,OR J005 Full Diamond DIY Square Painting Cross Stitch Embroidery Decor colorful,OR J    Full Diamond DIY Square Painting Cross Stitch Embroidery Decor colorful,https://www.jumia.com.eg//ar/generic-or-j005-full-diamond-diy-square-painting-cross-stitch-embroidery-decor-colorful-16398226.html,0.0,115.71,68%,527.0
1288,Modern wood desk with metal legs,Modern Home,https://www.jumia.com.eg//ar/generic-minttm-wood-desk-with-metal-legs-40883883.html,0.0,52.44,24%,2490.0
1289,Classic Black Red Blue Marker Pen Plastic Oily Waterproof Permanent,Classic Black Red Blue Marker Pen Plastic Oily Waterproof Permanent,https://www.jumia.com.eg//ar/generic-classic-black-red-blue-marker-pen-plastic-oily-waterproof-permanent-19367777.html,0.0,16.75,76%,66.0
1290,Arikaty New Bed - 120 X 190cm - Gray,Arikaty New Bed       X    cm   Gray,https://www.jumia.com.eg//ar/arikaty-new-bed-120-x-190cm-gray-22735023.html,0.0,172.14,17%,3999.0
1291,Furniture holder and mover,General,https://www.jumia.com.eg//ar/general-furniture-lifter-and-mover-5-pieces-30863028.html,0.0,52.44,31%,200.0
1292,"Outdoor Aluminum Alloy Camping Folding Table Portable Mini Table Barbecue Coffee Table Super Light Camping Table,Silver",Outdoor Aluminum Alloy Camping Folding Table Portable Mini Table Barbecue Coffee Table Super Light Camping Table Silver,https://www.jumia.com.eg//ar/generic-outdoor-aluminum-alloy-camping-folding-table-portable-mini-table-barbecue-coffee-table-super-light-camping-tablesilver-31804293.html,0.0,281.54,49%,1426.83
1293,Beech wood kitchen chair and ladder,Modern Home,https://www.jumia.com.eg//ar/dahab-chair-and-ladder-beech-wood-kitchen-38580420.html,0.0,52.44,0%,1900.0
1294,Bambino Desk for Kids Plastic,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-childrens-desk-table-bambino-purple-27276856.html,0.0,10.83,0%,420.0
1295,Versatile Hart Rattan plastic chair,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-plastic-heart-rattan-home-chair-multipurpose-40106650.html,0.0,52.44,0%,199.0
1296,Homztown Mega Chair,Homztown Mega Chair,https://www.jumia.com.eg//ar/homztown-mega-chair-23551115.html,0.0,52.44,33%,2400.0
1297,Computer Desk Table Grommet Cable Wire Hole Plastic Cover,Computer Desk Table Grommet Cable Wire Hole Plastic Cover,https://www.jumia.com.eg//ar/generic-computer-desk-table-grommet-cable-wire-hole-plastic-cover-30947724.html,0.0,20.45,50%,52.0
1298,Self Adhesive Swivel Casters Small Directional Furniture Caster Cut,Modern Home,https://www.jumia.com.eg//ar/generic-4-pcs-self-adhesive-swivel-casters-small-furniture-wheel-directional-29213361.html,0.0,52.44,10%,45.0
1299,Mighty Bean Bag,Ariika,https://www.jumia.com.eg//ar/ariika-mighty-beanbag-23133754.html,0.0,52.44,15%,2540.0
1300,2 PCS Heavy Duty T Hinge 316 Stainless Steel Marine Grade,PCS Heavy Duty T Hinge     Stainless Steel Marine Grade,https://www.jumia.com.eg//ar/generic-2-pcs-heavy-duty-t-hinge-316-stainless-steel-marine-grade-33591921.html,0.0,213.87,45%,794.08
1301,Sofa bed,Rango,https://www.jumia.com.eg//ar/rango-sofa-bed-brown-rango-22894341.html,2.0,172.14,13%,4000.0
1302,Linen Tempo Comfort Bean Bag,Penguin,https://www.jumia.com.eg//ar/penguin-comfort-bean-bag-tempu-linen-7095-brown-38651625.html,0.0,52.44,13%,1437.0
1303,Metal bed,Modern Home,https://www.jumia.com.eg//ar/generic-metal-bed-33719369.html,0.0,172.14,0%,5900.0
1304,مكتب قابل للطي على الحائط 60 × 40 سم أبيض,Modern Home,https://www.jumia.com.eg//ar/generic-wall-mounted-folding-desk-60-x-40-cm-white-26929421.html,0.0,52.44,17%,540.0
1305,Grand Bean Bag + Standard Bean To Go Bean Bag,Bean GO,https://www.jumia.com.eg//ar/bean2go-1-grand-beanbag-2-standard-beanbag-by-bean2go-29673415.html,0.0,52.44,0%,2600.0
1306,Captonian surface cylindrical pouffe,Penguin,https://www.jumia.com.eg//ar/penguin-capitone-round-plush-puff-large-plush-60-85-beige-38581486.html,0.0,52.44,13%,803.0
1307,"Mora medical mattress, ten years guarantee. The size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-180-length-195-high-25-24394298.html,0.0,172.14,17%,5300.0
1308,Big Puff Puff Bean Bag,Ariika,https://www.jumia.com.eg//ar/ariika-big-buff-buff-standard-beanbag-23133377.html,0.0,52.44,15%,1650.0
1309,Sofa bed,Rango,https://www.jumia.com.eg//ar/rango-sofa-bed-120190cm-rango-21326633.html,5.0,172.14,13%,4000.0
1310,"Mora medical mattress, ten years guarantee. The size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-170-length-195-high-25-24394279.html,0.0,172.14,14%,5000.0
1311,Memory foam fistula seat for fistula pain,Modern Home,https://www.jumia.com.eg//ar/ht-fistulas-memory-foam-seat-for-fistulas-30762107.html,0.0,52.44,10%,465.0
1312,American bed,Rango,https://www.jumia.com.eg//ar/rango-american-bed-beige-120-x-190-20888330.html,0.0,172.14,13%,4000.0
1313,Takara Tomy Licca-chan LF-02,Takara Tomy Licca chan LF,https://www.jumia.com.eg//ar/takara-tomy-licca-chan-lf-02-28215592.html,0.0,650.19,0%,1728.0
1314,Beige sofa bed,Modern Home,https://www.jumia.com.eg//ar/big-storage-sofa-bed-purple-22454252.html,0.0,172.14,10%,5000.0
1315,Rango سرير- 120×190 -كحلي,Rango,https://www.jumia.com.eg//ar/rango-bed-120-x-190cm-dark-blue-18183392.html,4.0,172.14,13%,4000.0
1316,OR Cross Stitch 5D Diamond Painting Rhinestone Decoration Square colorful,OR Cross Stitch  D Diamond Painting Rhinestone Decoration Square colorful,https://www.jumia.com.eg//ar/generic-or-cross-stitch-5d-diamond-painting-rhinestone-decoration-square-colorful-16397914.html,0.0,87.96,68%,302.0
1317,Bean Togo Standard Bean Bag Waterproof,Bean GO,https://www.jumia.com.eg//ar/bean2go-standard-pvc-beanbag-by-bean2go-red-23513444.html,0.0,52.44,0%,850.0
1318,Sheer Curtains,Ombre                                                                                                                             W x       L,https://www.jumia.com.eg//ar/generic-ombre-sheer-curtains-faux-linen-gradient-semi-voile-rod-21398722.html,0.0,297.38,50%,1324.0
1319,Corner bed,Rango,https://www.jumia.com.eg//ar/sectional-sofa-190x260-cm-teal-rango-mpg707478.html,5.0,172.14,8%,6000.0
1320,Bed x,Arikaty,https://www.jumia.com.eg//ar/arikaty-new-bed-120-x-190cm-brown-22735030.html,0.0,172.14,27%,4500.0
1321,Cell Foam Camping Tent Pad Indoor Outdoor,Cell Foam Camping Tent Pad Indoor Outdoor,https://www.jumia.com.eg//ar/generic-portable-folding-outdoor-camping-mat-picnic-sleeping-green-37638277.html,0.0,773.76,17%,1951.0
1322,Sola Golden Stainless Steel Table Italian White Calacatta Marble Top,Sola Golden Stainless Steel Table Italian White Calacatta Marble Top,https://www.jumia.com.eg//ar/sola-golden-stainless-steel-table-italian-white-calacatta-marble-top-27681770.html,0.0,172.14,15%,7500.0
1323,Snail dispenser and soap dispenser,Modern Home,https://www.jumia.com.eg//ar/generic-snail-soap-dispenser-soap-pump-dispenser-36368430.html,0.0,52.44,0%,150.0
1324,5PC Coffee Capsule for Nespresso Vertuo Vertuoline Pods,PC Coffee Capsule for Nespresso Vertuo Vertuoline Pods,https://www.jumia.com.eg//ar/generic-5pc-coffee-capsule-for-nespresso-vertuo-vertuoline-pods-30297877.html,0.0,236.52,50%,348.0
1325,40Pcs Table Corner Protector Child Anti-Collision Silicone,Pcs Table Corner Protector Child Anti Collision Silicone,https://www.jumia.com.eg//ar/generic-40pcs-table-corner-protector-child-anti-collision-silicone-37295078.html,0.0,150.32,44%,679.0
1326,"Floor protector, ceramics, chairs, tables and furniture adhesive pieces",Modern Home,https://www.jumia.com.eg//ar/generic-18-pcs-anti-skid-scratch-rubber-furniture-floor-protection-pads-self..-38428840.html,0.0,52.44,10%,45.0
1327,Modern sofa table,Marfy Touch,https://www.jumia.com.eg//ar/marfy-touch-modern-living-room-table-60100-cm-brown-25020141.html,0.0,172.14,40%,4500.0
1328,Bedline Concord cm mattress,Forbed,https://www.jumia.com.eg//ar/forbed-bedline-concorde-matress-26cm-28332446.html,1.0,172.14,13%,6115.0
1329,Bean Togo Grand Bean Bag Waterproof,Bean GO,https://www.jumia.com.eg//ar/bean2go-grand-pvc-beanbag-by-bean2go-lime-green-31837866.html,0.0,52.44,0%,1250.0
1330,European mattress size height,Modern Home,https://www.jumia.com.eg//ar/generic-european-mattress-width-180-length-195-high-32-34222004.html,0.0,172.14,15%,3899.0
1331,Pack Of Disney Shapes Adhesive Cover Book  - 10pcs,Pack Of Disney Shapes Adhesive Cover Book      pcs,https://www.jumia.com.eg//ar/generic-pack-of-disney-shapes-adhesive-cover-book-10pcs-13291129.html,5.0,52.44,0%,64.0
1332,His office is a cm TV,Modern Home,https://www.jumia.com.eg//ar/generic-modern-t.v-unit-1804040-cm-38752474.html,0.0,52.44,47%,7500.0
1333,Domino filing cabinet,Artistico,https://www.jumia.com.eg//ar/artistico-domino-closed-file-cabinet-20619227.html,0.0,172.14,13%,6000.0
1334,Black leather gaming chair,Modern Home,https://www.jumia.com.eg//ar/generic-furgle-gaming-chair-black-26112212.html,0.0,52.44,0%,13500.0
1335,El Helal and Golden Star Carmen Table Table Square x 100 cm,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-carmen-square-table-60x60-cm-purple-39529631.html,0.0,172.14,0%,495.0
1336,Bed captonian green,In Home,https://www.jumia.com.eg//ar/in-home-bed-cappuccino-120cm-green-23887353.html,4.0,172.14,0%,4000.0
1337,Elegant Arabic Style Paravan - Brown,Elegant Arabic Style Paravan   Brown,https://www.jumia.com.eg//ar/generic-elegant-arabic-style-paravan-brown-30319556.html,0.0,52.44,0%,9500.0
